epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.035,1.24475,0.6158,0.83994,0.86996,0.66809,0.74569,0.55384,0.82245,0.53034,0.80588,0.000990365,0.000990365,0.000990365
43,226.816,1.25895,0.59916,0.82867,0.92329,0.64841,0.75365,0.56117,0.80676,0.53253,0.80822,0.000973861,0.000973861,0.000973861
44,231.223,1.28342,0.61608,0.84473,0.96152,0.63185,0.76348,0.57345,0.82923,0.54725,0.81147,0.000957358,0.000957358,0.000957358
45,236.042,1.20591,0.59052,0.823,0.96305,0.636,0.77271,0.55828,0.89874,0.58073,0.81299,0.000940855,0.000940855,0.000940855
46,242.711,1.26129,0.60263,0.83141,0.85098,0.66692,0.7597,0.55771,0.79289,0.55761,0.81012,0.000924352,0.000924352,0.000924352
47,247.781,1.26486,0.59822,0.83497,0.89965,0.62576,0.76982,0.55788,0.79635,0.504,0.80888,0.000907848,0.000907848,0.000907848
48,252.394,1.27788,0.61847,0.83192,0.86988,0.66204,0.77206,0.55683,0.8448,0.53119,0.81047,0.000891345,0.000891345,0.000891345
49,257.413,1.24477,0.60228,0.82937,0.94201,0.64068,0.77351,0.56878,0.7775,0.50489,0.8045,0.000874842,0.000874842,0.000874842
50,262.62,1.20284,0.60789,0.82751,0.9274,0.65709,0.76878,0.56777,0.74834,0.49782,0.80367,0.000858338,0.000858338,0.000858338
51,267.545,1.21704,0.58937,0.83651,0.93412,0.65641,0.76516,0.56692,0.74326,0.49429,0.80318,0.000841835,0.000841835,0.000841835
52,283.853,1.19564,0.57178,0.82838,0.86476,0.67771,0.75461,0.56328,0.77623,0.52779,0.80741,0.000825332,0.000825332,0.000825332
53,289.369,1.22382,0.58602,0.8267,0.9014,0.65223,0.76494,0.58513,0.76823,0.48983,0.80222,0.000808828,0.000808828,0.000808828
54,295.117,1.2163,0.57124,0.84155,0.92493,0.65301,0.77348,0.58271,0.75096,0.49132,0.80505,0.000792325,0.000792325,0.000792325
55,300.135,1.22075,0.589,0.83362,0.93379,0.66688,0.77618,0.58632,0.79334,0.49022,0.80782,0.000775822,0.000775822,0.000775822
56,305.332,1.2137,0.58744,0.83571,0.89547,0.65798,0.77196,0.58915,0.77744,0.49754,0.8011,0.000759318,0.000759318,0.000759318
57,311.416,1.23132,0.59124,0.83339,0.86573,0.67834,0.77117,0.55528,0.80704,0.53045,0.80309,0.000742815,0.000742815,0.000742815
58,316.203,1.20882,0.58406,0.84177,0.90046,0.66513,0.77349,0.56539,0.77635,0.50891,0.80443,0.000726312,0.000726312,0.000726312
59,320.903,1.18831,0.58147,0.84091,0.90797,0.65383,0.78862,0.597,0.75443,0.47981,0.80152,0.000709809,0.000709809,0.000709809
60,340.299,1.18642,0.58508,0.84075,0.92932,0.65924,0.76185,0.56442,0.7986,0.48154,0.7984,0.000693305,0.000693305,0.000693305
61,347.073,1.16591,0.56584,0.82189,0.93799,0.65032,0.77454,0.59782,0.7592,0.46296,0.79936,0.000676802,0.000676802,0.000676802
62,352.432,1.16417,0.55639,0.82864,0.95056,0.63866,0.76603,0.58745,0.72892,0.46774,0.79879,0.000660299,0.000660299,0.000660299
63,357.835,1.16131,0.54874,0.82883,0.93753,0.66315,0.77601,0.59208,0.74237,0.48341,0.79964,0.000643795,0.000643795,0.000643795
64,363.096,1.17134,0.55595,0.82976,0.92817,0.65747,0.76628,0.58578,0.74764,0.47265,0.80432,0.000627292,0.000627292,0.000627292
65,367.599,1.19597,0.5609,0.8238,0.91627,0.65613,0.78615,0.58228,0.72026,0.45585,0.80197,0.000610789,0.000610789,0.000610789
66,372.607,1.15745,0.56252,0.82733,0.8799,0.65796,0.77856,0.56261,0.76236,0.49108,0.80287,0.000594286,0.000594286,0.000594286
67,379.014,1.18423,0.57965,0.82614,0.91957,0.6442,0.77511,0.59134,0.77345,0.48311,0.80286,0.000577782,0.000577782,0.000577782
68,384.104,1.15985,0.55946,0.82684,0.9032,0.64331,0.77541,0.58224,0.7408,0.48516,0.80062,0.000561279,0.000561279,0.000561279
69,389.263,1.16464,0.57275,0.83522,0.91444,0.64442,0.78429,0.59411,0.77005,0.4853,0.80212,0.000544776,0.000544776,0.000544776
70,394.501,1.13669,0.54384,0.82416,0.9158,0.66703,0.77646,0.58144,0.77713,0.49643,0.80391,0.000528272,0.000528272,0.000528272
71,399.45,1.16048,0.54793,0.8276,0.92474,0.66903,0.77399,0.59345,0.74529,0.50648,0.79944,0.000511769,0.000511769,0.000511769
72,404.161,1.15074,0.53987,0.82605,0.9047,0.65414,0.78167,0.61007,0.7416,0.4726,0.79855,0.000495266,0.000495266,0.000495266
73,409.219,1.10658,0.53079,0.80438,0.94453,0.65194,0.78254,0.59152,0.73327,0.45871,0.80001,0.000478762,0.000478762,0.000478762
74,415.392,1.10809,0.52947,0.82568,0.93961,0.66163,0.78416,0.58739,0.71315,0.45946,0.79543,0.000462259,0.000462259,0.000462259
75,419.975,1.11107,0.54146,0.82298,0.89061,0.65834,0.77965,0.59342,0.73272,0.45935,0.79921,0.000445756,0.000445756,0.000445756
76,424.817,1.13245,0.54472,0.82084,0.87556,0.66688,0.77755,0.57918,0.75514,0.48419,0.80273,0.000429253,0.000429253,0.000429253
77,429.427,1.13939,0.54668,0.82386,0.9141,0.65269,0.77889,0.58859,0.73074,0.48268,0.8019,0.000412749,0.000412749,0.000412749
78,434.244,1.10956,0.53948,0.81711,0.91704,0.64915,0.7852,0.59381,0.74119,0.46042,0.80307,0.000396246,0.000396246,0.000396246
