extent_x,extent_y,aspect_ratio,area,num_points,compactness,elongation,density,label
0.1386535962433412,0.048293082030243,2.871086093791052,0.006696009497167869,7.0,0.0,2.871086093791052,1045.398756223495,1
0.1532520155680558,0.0589993134400482,2.597522015638062,0.00904176370181887,5.0,0.0,2.597522015638062,552.989457023101,1
0.1393808388921866,0.0510375541846094,2.7309466748353217,0.007113657117256288,7.0,0.0,2.7309466748353217,984.0226882765296,1
0.158826366961663,0.0765529594364798,2.07472536830467,0.012158628427459644,8.0,0.0,2.07472536830467,657.9689516567845,1
0.1113101002337545,0.0012686867294289,87.7364739866561,0.00014121764701796504,3.0,0.0,87.7364739866561,21243.803896678397,1
0.1129794128727539,0.0202566828464213,5.577389631329184,0.0022885881347382638,3.0,0.0,5.577389631329184,1310.8518542341815,1
0.1513416429027222,0.0231340158246278,6.541952942800717,0.003501139961836745,5.0,0.0,6.541952942800717,1428.1062895231794,1
0.1108249481336301,0.0071421458293064,15.517037985822352,0.0007915279410957044,3.0,0.0,15.517037985822352,3790.1378387819504,1
0.1513891113667914,0.0599985654852993,2.523212182529337,0.009083129512101702,7.0,0.0,2.523212182529337,770.6594946899863,1
0.1543323475097356,0.0618843490746229,2.4938833455876668,0.009550756866798486,7.0,0.0,2.4938833455876668,732.9262065433013,1
1.4104867078470602,0.0254776118155791,55.36181012792466,0.03593583281356153,16.0,0.0,55.36181012792466,445.23804646491703,0
1.5263500437741797,0.8487743514064552,1.7982989722120524,1.2955267684236438,19.0,0.0,1.7982989722120524,14.665849029980757,0
0.1751230356865683,0.0434611902055375,4.02941186972499,0.007611055563345077,3.0,0.0,4.02941186972499,394.16346064375506,1
1.374571739275806,0.0131673973157777,104.39206065641683,0.01809953223008413,18.0,0.0,104.39206065641683,994.5008396449775,0
0.5192263461543131,0.0566472370481529,9.16596065776245,0.029412737912249666,11.0,0.0,9.16596065776245,373.9876251173059,0
0.6237786365769415,0.0988986362874583,6.307252152232611,0.06169085650270958,8.0,0.0,6.307252152232611,129.6788609126966,0
0.527927000625675,0.0417334382762423,12.649976192500999,0.022032208894973336,11.0,0.0,12.649976192500999,499.26904980052444,0
0.6821558247055843,0.0136545764636846,49.9580361587802,0.00931454886859023,6.0,0.0,49.9580361587802,644.1535800228303,0
0.7488980343203528,0.2586631158872516,2.8952641034711313,0.19371229903914036,6.0,0.0,2.8952641034711313,30.973768985043513,0
0.2213083935741186,0.0952937808239778,2.3223802399330666,0.021089313551758675,3.0,0.0,2.3223802399330666,142.2521407649053,1
0.1603979783065122,0.043989575552332,3.6462724700695386,0.007055838985155628,4.0,0.0,3.6462724700695386,566.906360592322,1
0.1620011699104274,0.022862266707075,7.085962734407881,0.0037037139533503643,4.0,0.0,7.085962734407881,1079.9970112113049,1
0.161776478110088,0.0307334205145578,5.263861796101015,0.0049719445311214895,4.0,0.0,5.263861796101015,804.514204646154,1
0.2005759591983811,0.0692148934073806,2.8978728323374554,0.013882843635999068,3.0,0.0,2.8978728323374554,216.09405671189836,1
0.0950957136985805,0.0105188269907348,9.040524554909284,0.0010002953599558175,4.0,0.0,9.040524554909284,3998.8189090237083,1
0.0702041053012191,0.0022857286662136,30.714102832474417,0.00016046753597287464,3.0,0.0,30.714102832474417,18695.370261727698,1
0.0914048571472346,0.0144018971762913,6.346723353761139,0.0013164033540480676,3.0,0.0,6.346723353761139,2278.936764157209,1
0.0853287442379891,0.0058358222897048,14.621546031057326,0.0004979633875765768,3.0,0.0,14.621546031057326,6024.539303180518,1
0.0753209973376062,0.0011200595583071,67.24731446553535,8.436400300920945e-05,3.0,0.0,67.24731446553535,35560.19028248944,1
0.1421550582508321,0.0622406206133683,2.2839595243415594,0.008847819048861312,7.0,0.0,2.2839595243415594,791.1554204875922,1
0.1418470582141826,0.0553140820341239,2.564393243056542,0.007846139814358444,7.0,0.0,2.564393243056542,892.1584582510234,1
0.1412822168440725,0.0358067306292877,3.9456888233329055,0.0050588542812443175,7.0,0.0,3.9456888233329055,1383.7125188508537,1
0.1369240205586282,0.0109617940385114,12.491022918108243,0.001500932912288583,3.0,0.0,12.491022918108243,1998.75689009023,1
0.0939060338728035,0.0323750886461197,2.9005645327880374,0.0030402161710375328,3.0,0.0,2.9005645327880374,986.7719370021612,1
0.1411119195385616,0.0590002306459786,2.3917180999728793,0.008325635799671908,7.0,0.0,2.3917180999728793,840.7766287682019,1
0.165640067700512,0.0751425568283731,2.204344311557521,0.012446618200241292,4.0,0.0,2.204344311557521,321.3724351183565,1
0.1483313786405629,0.0627034150553017,2.3656028704296412,0.00930088400062433,5.0,0.0,2.3656028704296412,537.5833092493542,1
1.2580169918866666,0.6185834193687636,2.033706291659767,0.7781884524652604,14.0,0.0,2.033706291659767,17.990500830035103,0
1.7970419127410655,0.0224844204594514,79.92387066332738,0.040405445949326886,26.0,0.0,79.92387066332738,643.4776151860077,0
1.6713633170643218,0.1904218523171096,8.77716132222577,0.3182640987302567,27.0,0.0,8.77716132222577,84.83520481172377,0
2.2971163294771526,0.1189932326234186,19.30459639454375,0.2733412977565283,37.0,0.0,19.30459639454375,135.3619094651288,0
1.887504693906895,0.0901531447988426,20.936648390008543,0.17016448397828338,13.0,0.0,20.936648390008543,76.3966704218906,0
0.1311174254219781,0.0430049752247518,3.0488896862917523,0.00563870163180541,6.0,0.0,3.0488896862917523,1064.0747448236427,1
0.1311188491720426,0.0480092428610595,2.731116788313145,0.0062949166735632245,6.0,0.0,2.731116788313145,953.1500274178709,1
